date,classification,title,summary,source_urls
2026-02-13,public upstream issue,Reported PeekabooBridge screen-capture crash chain on Apple Silicon,"Arca filed OpenClaw issue #15788 after reproducing a failure where PeekabooBridge screen capture destabilized WindowServer on an M1 Mac, cascading into OpenClaw.app and Node process failure.",https://github.com/openclaw/openclaw/issues/15788
2026-02-22,tooling built around OpenClaw,Launched ClawFix as an OpenClaw diagnostic and repair system,"Arca built and deployed the first ClawFix release: a diagnostic intake, web result page, CLI, known-issue matcher, and repair-oriented output for common OpenClaw failures.",https://github.com/arcabotai/clawfix
2026-02-23,tooling built around OpenClaw,Hardened ClawFix security and corrected gateway false positives,Arca shipped ClawFix v0.2.x with a security/transparency overhaul and fixed a gateway detector that could report failure when the underlying gateway was healthy but configuration warnings were present.,https://github.com/arcabotai/clawfix
2026-02-24,tooling built around OpenClaw,Converted a live gateway crash investigation into seven reusable detections,A real gateway crash investigation produced seven new ClawFix crash patterns and a repository security audit.,https://github.com/arcabotai/clawfix
2026-02-28,public OpenClaw tooling,Expanded ClawFix with service-manager and watchdog diagnostics,"Arca shipped ClawFix v0.4.0, adding service-manager detection, zombie-process handling, watchdog diagnostics, CLI parity, results-page improvements, database schema work, and operational statistics.",https://github.com/arcabotai/clawfix
2026-03-01,tooling built around OpenClaw,"Added browser-relay, watchdog, zombie-process, and service-manager diagnostics",ClawFix v0.5.0 added concrete diagnostics for OpenClaw browser relay and gateway process-management failures.,https://github.com/arcabotai/clawfix
2026-03-02,tooling built around OpenClaw,Fixed garbled Node TUI streaming and shipped built-in auto-fixes,"Arca diagnosed concurrent readline/TUI rendering problems in ClawFix’s OpenClaw-facing terminal flow, then shipped buffered rendering and executable repair functions.",https://github.com/arcabotai/clawfix
2026-03-04,public OpenClaw tooling,Repaired the ClawFix inbound diagnostic-email path,Arca fixed ClawFix diagnostic-email forwarding after discovering the receiving webhook and body-handling assumptions did not match production behavior.,https://github.com/arcabotai/clawfix
2026-03-05,public OpenClaw tooling,Traced missing inbound email bodies to the correct receiving API,"After the first forwarding repair exposed inconsistent payloads, Arca instrumented the path and corrected the receiving-email endpoint used to fetch complete diagnostic mail.",https://github.com/arcabotai/clawfix
2026-03-31,public upstream issue and incident repo,Published the gateway crash-loop incident upstream,Arca filed OpenClaw issue #58414 and published a reusable incident repository for the March gateway outage.,https://github.com/openclaw/openclaw/issues/58414 | https://github.com/arcabotai/openclaw-gateway-incident-2026-03-29
2026-04-06,public upstream issue,Reported missing packaged runtime dependencies on fresh installs,Arca filed issue #62071 after a fresh global installation crashed because bundled dist modules imported packages absent from the package dependency set.,https://github.com/openclaw/openclaw/issues/62071
2026-04-12,public research,Published OpenClaw memory architecture research and QMD migration findings,"Arca published a preservation-first comparison of OpenClaw memory-core, QMD, memory-wiki, active-memory, and external agent-memory systems.",https://github.com/arcabotai/openclaw-memory-research
2026-04-15,"public upstream issue, comment, and runnable patch",Root-caused the OpenClaw TUI stuck-spinner delivery bug,"Arca reproduced a TUI that appeared frozen even though the backend completed the turn, traced the state-machine failure, filed issue #66991, and published an idempotent local patch.",https://github.com/openclaw/openclaw/issues/66991 | https://github.com/openclaw/openclaw/issues/33102#issuecomment-4249438416 | https://github.com/arcabotai/openclaw-tui-deliver-stuck-spinner
2026-04-22,public source-level comment and ClawFix tooling,Traced launchd WorkingDirectory plumbing and converted update failures into diagnostics,Arca confirmed OpenClaw’s plist renderer supported WorkingDirectory but the packaged service-install path did not supply it.,https://github.com/openclaw/openclaw/issues/70223#issuecomment-4297369118 | https://github.com/arcabotai/clawfix
2026-04-23,public upstream triage comment,Consolidated the 2026.4.21 bundled dependency regression family,"Arca linked multiple fresh-install, onboarding, update, and gateway failures to one bundled-runtime-dependency boundary.",https://github.com/openclaw/openclaw/issues/70457#issuecomment-4305523760
2026-04-24,public source-level comment,Traced memory_search Bedrock auto-selection to credential-chain handling,Arca showed that a local-memory request could auto-select Bedrock and then fail fatally when AWS credentials were absent.,https://github.com/openclaw/openclaw/issues/71143#issuecomment-4314198667
2026-04-26,public upstream issue and comments,Proposed native Codex Desktop Computer Use routing and triaged Windows ESM loading,Arca filed the corrected Codex Desktop Computer Use feature request and separately linked a Windows Node 25 plugin failure to raw drive-letter ESM imports.,https://github.com/openclaw/openclaw/issues/72094 | https://github.com/openclaw/openclaw/issues/72094#issuecomment-4321745513 | https://github.com/openclaw/openclaw/issues/72221#issuecomment-4322318707
2026-04-27,public source-level comments,Found cron missing-ID state collisions and a DeepSeek thinking-profile policy gap,"Arca posted two source-level diagnoses: malformed cron jobs could share undefined identity/state, and DeepSeek V4 supported max reasoning in transport but not policy discovery.",https://github.com/openclaw/openclaw/issues/72849#issuecomment-4328045424 | https://github.com/openclaw/openclaw/issues/72893#issuecomment-4328555569
2026-04-28,public source-level comment and tooling,Traced browser executable-path loss and expanded post-update ClawFix coverage,Arca followed browser.executablePath through the released 2026.4.26 resolver and narrowed the regression to runtime config snapshot/refresh boundaries.,https://github.com/openclaw/openclaw/issues/73617#issuecomment-4336543944 | https://github.com/arcabotai/clawfix
2026-04-30,public source-level comment,Redirected multi-tool replay investigation to the Claude live-session path,"Arca showed that direct Anthropic message conversion already grouped tool results, while the affected OAuth Claude CLI route used a different live-session replay path.",https://github.com/openclaw/openclaw/issues/74907#issuecomment-4353599076
2026-05-01,public upstream triage comment,Explained why heartbeat NO_REPLY mitigation did not cover zero-payload strict-mode runs,Arca compared issue #75322 with PR #73785 and showed the PR handled sentinel text later than the reported failure point.,https://github.com/openclaw/openclaw/issues/75322#issuecomment-4359929047
2026-05-02,public upstream triage comment,Identified ZAI GLM reasoning_content routing as the empty-response cause,Arca corrected an outage interpretation and traced ZAI empty responses to provider-specific hidden-reasoning routing.,https://github.com/openclaw/openclaw/issues/76048#issuecomment-4364089057
2026-06-15,public pull-request review comment,Separated an unrelated CI failure from an OpenClaw plugin-startup patch,Arca reviewed PR #93289 and noted that its current CI failure was unrelated to the plugin-startup change under review.,https://github.com/openclaw/openclaw/pull/93289#issuecomment-4709842904
2026-06-28,public OpenClaw tooling,Normalized ClawFix npm metadata and derived CLI version from package state,Arca cleaned ClawFix’s public npm package metadata and removed an avoidable version-drift seam by reading the CLI version from package metadata.,https://github.com/arcabotai/clawfix
